src_ip,dst_ip,server_port,prot,p_count,b_count,max_size,min_size,abyte_count,sbyte_count,Unnamed: 10
17.248.184.49,192.168.125.99,443,6,0.000107929,7.15E-06,0.008219178,0.076560122,0.017008093,0.054757509,AppleiCloud
192.168.125.40,17.248.184.107,443,6,5.04E-05,4.46E-06,0.008219178,0.046917808,0.022502804,0.044831335,AppleiCloud
17.248.184.107,192.168.125.40,443,6,6.48E-05,1.54E-05,0.008219178,0.101331811,0.068721797,0.097423379,AppleiCloud
192.168.121.31,17.248.137.104,443,6,0.000129515,6.68E-06,0,0.020129376,0.012453177,0.019012856,AppleiCloud
17.248.137.104,192.168.121.31,443,6,0.000129515,3.58E-06,0.008219178,0.009665145,0.004737432,0.007075527,AppleiCloud
192.168.121.97,17.248.137.200,443,6,0.000201468,1.34E-05,0,0.055555556,0.017573183,0.038150638,AppleiCloud
17.248.137.200,192.168.121.97,443,6,0.000187077,3.29E-05,0.008219178,0.061073059,0.053470714,0.075307968,AppleiCloud
192.168.121.32,17.248.137.176,443,6,0.000151101,1.07E-05,0,0.042047184,0.018802476,0.035373195,AppleiCloud
17.248.137.176,192.168.121.32,443,6,0.00012232,6.13E-06,0.008219178,0.03630137,0.011950018,0.027430539,AppleiCloud
192.168.121.24,17.248.137.203,443,6,4.32E-05,2.06E-06,0.008219178,0.020129376,0.010148323,0.0203415,AppleiCloud
17.248.137.203,192.168.121.24,443,6,2.88E-05,3.67E-06,0.008219178,0.051674277,0.031195063,0.061188302,AppleiCloud
192.168.125.40,17.248.137.112,443,6,0.000107929,6.08E-06,0.008219178,0.047526636,0.013843637,0.033534619,AppleiCloud
17.248.137.112,192.168.125.40,443,6,9.35E-05,1.64E-05,0.008219178,0.109741248,0.051458617,0.093519711,AppleiCloud
192.168.128.46,17.248.137.197,443,6,0.000215858,2.18E-05,0.008219178,0.055555556,0.028971826,0.048703334,AppleiCloud
17.248.137.197,192.168.128.46,443,6,0.000230249,4.46E-05,0.008219178,0.061073059,0.059733378,0.078757201,AppleiCloud
192.168.127.11,17.248.137.203,443,6,0.000115124,9.72E-06,0.008219178,0.048744292,0.022898614,0.044772328,AppleiCloud
17.248.137.203,192.168.127.11,443,6,0.000115124,2.75E-05,0.008219178,0.055555556,0.0723944,0.074915071,AppleiCloud
192.168.128.3,17.248.184.50,443,6,0.000179882,1.24E-05,0,0.055555556,0.018357774,0.041374403,AppleiCloud
17.248.184.50,192.168.128.3,443,6,0.000172687,2.75E-05,0.008219178,0.109741248,0.047895673,0.087004067,AppleiCloud
192.168.128.46,17.248.184.24,443,6,0.000374155,1.99E-05,0,0.024277017,0.013415933,0.023226749,AppleiCloud
