src_ip,dst_ip,server_port,prot,p_count,b_count,max_size,min_size,abyte_count,sbyte_count,Unnamed: 10
192.168.122.46,179.1.4.208,443,6,0.0001151244783422,2.725556544424049e-06,0.0,0.0196727549467275,0.0034325210887117,0.0138289720733836,YouTube
179.1.4.208,192.168.122.46,443,6,0.0002446395164771,0.0001122467653705,0.0,0.1092846270928462,0.1474437904279227,0.0626399907989801,YouTube
192.168.122.46,179.1.4.209,443,6,2.878111958555188e-05,1.72533091777057e-06,0.0,0.0196727549467275,0.0127957118840901,0.0229193154064272,YouTube
179.1.4.209,192.168.122.46,443,6,2.878111958555188e-05,7.437575172551511e-07,0.0,0.005593607305936,0.0035077899820178,0.0065770864207195,YouTube
192.168.127.4,179.1.4.205,443,6,0.0020434594905741,5.293734930808215e-05,0.0082191780821917,0.0464611872146118,0.0043910269604031,0.0197837595091481,YouTube
179.1.4.205,192.168.127.4,443,6,0.0063390415887178,0.0042000569881465,0.0082191780821917,0.9114155251141552,0.220888115047916,0.2113509247096884,YouTube
192.168.122.106,173.194.136.218,443,6,3.597639948193985e-05,9.722472874463888e-07,0.0,0.007800608828006,0.00398946764239,0.0086080586027638,YouTube
173.194.136.218,192.168.122.106,443,6,2.878111958555188e-05,1.1618005355744258e-05,0.0,0.1299467275494673,0.1064029627878735,0.1523507987970442,YouTube
192.168.125.28,179.1.4.206,443,6,0.0002374442365808,1.0228414508458772e-05,0.0,0.0483637747336377,0.0099504179434527,0.0342976063686575,YouTube
179.1.4.206,192.168.125.28,443,6,0.0004173262339905,0.0002061490663343,0.0,0.1639269406392694,0.1609709529666113,0.0799929684836904,YouTube
192.168.128.39,172.217.8.118,443,6,6.475751906749172e-05,3.548586022765956e-06,0.0082191780821917,0.0201293759512937,0.012817773456304,0.0234930911426871,YouTube
172.217.8.118,192.168.128.39,443,6,4.3171679378327816e-05,7.962169032684455e-06,0.0082191780821917,0.05441400304414,0.0500324941312133,0.0707954651005872,YouTube
192.168.128.40,172.217.30.214,443,17,5.0366959274715785e-05,1.0545502352805795e-05,0.010958904109589,0.0509132420091324,0.0585045318148646,0.0713627651482992,YouTube
172.217.30.214,192.168.128.40,443,17,5.756223917110376e-05,1.3574157571973325e-05,0.0054794520547945,0.0509132420091324,0.0674348723969589,0.0740161473652143,YouTube
192.168.125.67,172.217.1.118,443,6,0.0001007339185494,4.994133548465623e-06,0.0082191780821917,0.0247716894977169,0.0116338024178324,0.0220192858532186,YouTube
172.217.1.118,192.168.125.67,443,6,0.0001151244783422,1.2592584171457903e-05,0.0082191780821917,0.05441400304414,0.0308926897939935,0.0535540890983527,YouTube
192.168.122.151,172.217.2.129,443,6,0.0075262627716218,0.0007387307423109,0.0,0.1097031963470319,0.0289733553266602,0.0497150979301722,YouTube
172.217.2.129,192.168.122.151,443,6,0.0115340336739099,0.0014375457206864,0.0,0.1079147640791476,0.0379921179731869,0.068045908284616,YouTube
192.168.128.103,172.217.3.142,443,17,7.914807886026766e-05,1.8813101588500982e-05,0.010958904109589,0.0509132420091324,0.0701282226750887,0.0716380167790028,YouTube
172.217.3.142,192.168.128.103,443,17,9.35386386530436e-05,1.7775571509571386e-05,0.0027397260273972,0.0509132420091324,0.055973360356809,0.0707843156412528,YouTube
192.168.125.52,172.217.3.142,443,6,5.0366959274715785e-05,2.103038497066289e-06,0.0,0.0196727549467275,0.0085764361981724,0.0192025521126723,YouTube
172.217.3.142,192.168.125.52,443,6,5.0366959274715785e-05,1.002324002094011e-05,0.0,0.0539573820395738,0.0554159117049118,0.0668162717123473,YouTube
192.168.127.89,173.194.136.199,443,6,0.0004245215138868,5.106046905293984e-05,0.0,0.0555555555555555,0.0359235934253897,0.0596140566929061,YouTube
173.194.136.199,192.168.127.89,443,6,0.0005972082314002,0.0001429739764047,0.0,0.2777777777777778,0.0761675780686571,0.1352775358752272,YouTube
192.168.128.115,179.1.4.209,443,6,0.0002662253561663,8.106723785254422e-06,0.0,0.049048706240487,0.0057969683831759,0.024963843862664,YouTube
179.1.4.209,192.168.128.115,443,6,0.0002158583968916,0.0002653069330595,0.0,0.3888888888888889,0.4006345930943218,0.3285271603246603,YouTube
192.168.128.3,179.1.4.207,443,6,5.756223917110376e-05,2.4387785675513733e-06,0.0082191780821917,0.0201293759512937,0.0088981674633028,0.0183351929620714,YouTube
179.1.4.207,192.168.128.3,443,6,3.597639948193985e-05,8.51474123202449e-06,0.0082191780821917,0.065372907153729,0.0634637893984482,0.0820924196423194,YouTube
192.168.121.42,179.1.4.206,443,6,3.597639948193985e-05,1.818592048460871e-06,0.0,0.0196727549467275,0.0106630932404186,0.02149314852762,YouTube
179.1.4.206,192.168.121.42,443,6,3.597639948193985e-05,8.370186479454522e-07,0.0,0.005593607305936,0.0029231583183481,0.0061536799812671,YouTube
192.168.125.25,179.1.4.208,443,6,0.0002302489566844,9.885679853171915e-06,0.0,0.0454337899543379,0.0098942808720444,0.0333700212078341,YouTube
179.1.4.208,192.168.125.25,443,6,0.0005828176716074,0.0003253484489979,0.0,0.2732115677321157,0.1833572242014767,0.1254016886406557,YouTube
192.168.122.52,172.217.2.86,443,6,0.0001439055979277,1.051286095706419e-05,0.0,0.0480974124809741,0.019482469364931,0.0364777057729254,YouTube
172.217.2.86,192.168.122.52,443,6,0.0001367103180313,5.516395880331309e-06,0.0,0.0172754946727549,0.0088577212439003,0.0161627059117224,YouTube
192.168.125.28,179.1.4.206,443,17,3.597639948193985e-05,1.617614311823272e-05,0.0328767123287671,0.0509132420091324,0.1238757279813206,0.054717392097143,YouTube
192.168.128.3,172.217.1.118,443,17,4.3171679378327816e-05,7.307009589585089e-06,0.010958904109589,0.0509132420091324,0.0456044214162532,0.0667201489563132,YouTube
172.217.1.118,192.168.128.3,443,17,4.3171679378327816e-05,1.0205099225786196e-05,0.0054794520547945,0.0509132420091324,0.0651919458922177,0.0736856323363949,YouTube
192.168.122.30,179.1.4.208,443,6,0.0013742984602101,2.493802634658651e-05,0.0,0.0482876712328767,0.0017557334557277,0.0148955661997612,YouTube
179.1.4.208,192.168.122.30,443,6,0.0014822276586559,0.0032578327901976,0.0,1.0,0.7402110432743467,0.6897992332319389,YouTube
192.168.122.207,179.1.4.206,443,6,0.0001654914376169,6.276474095457263e-06,0.0,0.0453576864535768,0.0081443970719723,0.0290180149625644,YouTube
179.1.4.206,192.168.122.207,443,6,0.0003093970355446,0.0001450583626756,0.0,0.1092846270928462,0.1516632809935537,0.084309778689109,YouTube
192.168.128.21,172.217.0.182,443,17,2.878111958555188e-05,7.043546895384989e-06,0.010958904109589,0.0509132420091324,0.0631181581041065,0.0713347302516614,YouTube
172.217.0.182,192.168.128.21,443,17,5.0366959274715785e-05,1.360446743944767e-05,0.0054794520547945,0.0509132420091324,0.0765950210303023,0.0733165734149479,YouTube
192.168.128.23,216.58.192.46,443,6,0.0001367103180313,5.138688301035589e-06,0.0,0.0196727549467275,0.0079642275692354,0.0150251123967928,YouTube
216.58.192.46,192.168.128.23,443,6,0.000223053676788,4.053595045453936e-05,0.0,0.0539573820395738,0.0556572101510018,0.0719371876646715,YouTube
192.168.125.25,173.194.136.168,443,6,0.0005324507123327,1.1583032431735395e-05,0.0,0.054337899543379,0.0029533091333395,0.0197373383567096,YouTube
173.194.136.168,192.168.125.25,443,6,0.0016477190962728,0.0009805568541908,0.0,0.2124809741248097,0.1973091098408801,0.1002584594653135,YouTube
192.168.128.5,172.217.2.86,443,17,5.756223917110376e-05,4.513838725410572e-06,0.010958904109589,0.0509132420091324,0.0198063892814252,0.0468639819998587,YouTube
172.217.2.86,192.168.128.5,443,17,7.19527989638797e-05,2.616207868689671e-05,0.0075342465753424,0.0509132420091324,0.1085128513606005,0.0658776012728264,YouTube
192.168.122.52,74.125.141.119,443,6,0.0005684271118146,9.717809817929371e-06,0.0,0.0070015220700152,0.0013898790494787,0.0042148528513055,YouTube
74.125.141.119,192.168.122.52,443,6,0.0006115987911929,0.000237752931997,0.0,0.1079147640791476,0.1264346137820538,0.0811388903667027,YouTube
192.168.128.3,172.217.8.150,443,17,1.439055979277594e-05,3.4063627984632466e-06,0.010958904109589,0.0509132420091324,0.0507783853754278,0.0706362937976203,YouTube
172.217.8.150,192.168.128.3,443,17,1.439055979277594e-05,3.3690583461871265e-06,0.0054794520547945,0.0509132420091324,0.0501900767867327,0.0710655082774113,YouTube
192.168.122.51,173.194.161.108,443,6,0.005972082314002,9.07733900291373e-05,0.0,0.0463089802130898,0.0007610047746584,0.0095815282753038,YouTube
173.194.161.108,192.168.122.51,443,6,0.006900273420636,0.0053180061400703,0.0,1.0,0.2576780143819294,0.2026701502989166,YouTube
192.168.125.53,179.1.4.205,443,6,0.0001726867175133,7.67539105581178e-06,0.0,0.0457001522070015,0.0102895172805855,0.0301990013031715,YouTube
179.1.4.205,192.168.125.53,443,6,0.0003453734350266,0.000163076413125,0.0,0.1092846270928462,0.1531343253393626,0.0763115801934919,YouTube
192.168.125.95,172.217.8.150,443,6,0.0001726867175133,5.9384024967049215e-06,0.0,0.0196727549467275,0.0070023430207072,0.0134671985135346,YouTube
172.217.8.150,192.168.125.95,443,6,0.0002158583968916,4.135664840461401e-05,0.0,0.0930365296803653,0.0588474647252163,0.0840726361866866,YouTube
192.168.128.56,173.194.136.199,443,6,4.3171679378327816e-05,1.97946749890164e-06,0.0082191780821917,0.0201293759512937,0.0095967839130675,0.0205399497953722,YouTube
173.194.136.199,192.168.128.56,443,6,2.878111958555188e-05,9.489320047738135e-06,0.0082191780821917,0.05441400304414,0.0862607473565385,0.073215361130992,YouTube
192.168.125.17,172.217.28.118,443,6,0.0002086631169952,8.934416320130845e-06,0.0082191780821917,0.0226788432267884,0.0098247534962886,0.0135320020748053,YouTube
172.217.28.118,192.168.125.17,443,6,0.0002158583968916,2.066200350443621e-05,0.0082191780821917,0.0695966514459665,0.0272638332722306,0.0569872431085584,YouTube
192.168.122.50,179.1.4.205,443,6,0.0002518347963735,1.07483453120572e-05,0.0,0.0494292237442922,0.0098357842823956,0.0346612734223282,YouTube
179.1.4.205,192.168.122.50,443,6,0.0003093970355446,0.0001898633413875,0.0,0.1639269406392694,0.1998402393157637,0.1146665478118817,YouTube
192.168.121.105,173.194.136.219,443,6,3.597639948193985e-05,1.818592048460871e-06,0.0,0.0196727549467275,0.0106630932404186,0.02149314852762,YouTube
173.194.136.219,192.168.121.105,443,6,2.878111958555188e-05,7.437575172551511e-07,0.0,0.005593607305936,0.0035077899820178,0.0065770864207195,YouTube
192.168.128.4,173.194.136.199,443,17,3.597639948193985e-05,1.1394178642087535e-05,0.010958904109589,0.0509132420091324,0.0861688241426573,0.067666830696319,YouTube
173.194.136.199,192.168.128.4,443,17,4.3171679378327816e-05,7.87357095852867e-06,0.0027397260273972,0.0509132420091324,0.0494336800203842,0.0660027074877685,YouTube
192.168.125.28,172.217.2.86,443,6,8.634335875665563e-05,6.5842358267352565e-06,0.0,0.0600076103500761,0.0198893558720342,0.0483756596127968,YouTube
172.217.2.86,192.168.125.28,443,6,0.0001151244783422,1.1774217749650513e-05,0.0,0.0539573820395738,0.0286151569003842,0.0533056446691704,YouTube
192.168.128.42,172.217.30.214,443,17,1.439055979277594e-05,4.059190713295354e-06,0.0712328767123287,0.0509132420091324,0.0610737857492909,0.0633487598916836,YouTube
192.168.125.28,173.194.136.199,443,6,7.914807886026766e-05,6.400045093621912e-06,0.0,0.0585235920852359,0.0211883016434694,0.0488095151527607,YouTube
173.194.136.199,192.168.125.28,443,6,0.0001007339185494,1.0708709331513824e-05,0.0,0.0539573820395738,0.0296581069166283,0.0564290968199184,YouTube
192.168.128.16,172.217.2.129,443,17,6.475751906749172e-05,5.304226808010874e-06,0.010958904109589,0.0509132420091324,0.0211239553948556,0.0439637625557331,YouTube
172.217.2.129,192.168.128.16,443,17,8.634335875665563e-05,1.1858152767271785e-05,0.0041095890410958,0.0509132420091324,0.0390829236981694,0.0524694806087638,YouTube
192.168.122.22,173.194.136.186,443,6,0.0017484530148222,2.724857085943872e-05,0.0,0.0518645357686453,0.0008892441095434,0.0105895629756005,YouTube
173.194.136.186,192.168.122.22,443,6,0.0017268671751331,0.0014569650196244,0.0,0.4821917808219178,0.2816269543193969,0.1182348860587335,YouTube
192.168.122.13,216.58.192.54,443,17,3.597639948193985e-05,1.617614311823272e-05,0.0328767123287671,0.0509132420091324,0.1238757279813206,0.054717392097143,YouTube
192.168.122.118,179.1.4.206,443,6,0.0017556482947186,2.995314364945745e-05,0.0,0.0491628614916286,0.0013898790494787,0.0133616600289801,YouTube
179.1.4.206,192.168.122.118,443,6,0.007159303496906,0.0049265192287151,0.0,0.6517503805175038,0.2296086922930741,0.2360291357947626,YouTube
